"state_code","state_name","course_status","licensing_guide_url","course_url"
"AK","Alaska","available","https://tsinational.com/alaska-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ak/"
"AL","Alabama","available","https://tsinational.com/alabama-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-al/"
"AR","Arkansas","available","https://tsinational.com/arkansas-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-healthself-study-licensing-ar/"
"AZ","Arizona","available","https://tsinational.com/arizona-insurance-prelicensing-requirements-2026/","https://tsinational.com/arizona-insurance-license-exam-prep/"
"CA","California","available","https://tsinational.com/california-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-health-annuity-agent-licensing-ca/"
"CO","Colorado","not_currently_available","https://tsinational.com/colorado-insurance-prelicensing-requirements-2026/",""
"CT","Connecticut","available","https://tsinational.com/connecticut-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ct/"
"DE","Delaware","available","https://tsinational.com/delaware-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-de/"
"FL","Florida","available","https://tsinational.com/florida-insurance-prelicensing-requirements-2026/","https://tsinational.com/florida-insurance-prelicensing-requirements-2026/"
"GA","Georgia","available","https://tsinational.com/georgia-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-health-annuity-agent-licensing-ga/"
"HI","Hawaii","available","https://tsinational.com/hawaii-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-hi/"
"IA","Iowa","available","https://tsinational.com/iowa-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ia/"
"ID","Idaho","available","https://tsinational.com/idaho-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-id/"
"IL","Illinois","available","https://tsinational.com/illinois-insurance-prelicensing-requirements-2026/","https://tsinational.com/illinois-property-casualty-license-course/"
"IN","Indiana","available","https://tsinational.com/indiana-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-health-annuity-agent-licensing-in/"
"KS","Kansas","available","https://tsinational.com/kansas-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ks/"
"KY","Kentucky","not_currently_available","https://tsinational.com/kentucky-insurance-prelicensing-requirements-2026/",""
"LA","Louisiana","available","https://tsinational.com/louisiana-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-la/"
"MA","Massachusetts","available","https://tsinational.com/massachusetts-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ma/"
"MD","Maryland","available","https://tsinational.com/maryland-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-md/"
"ME","Maine","available","https://tsinational.com/maine-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-me/"
"MI","Michigan","available","https://tsinational.com/michigan-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-health-annuity-agent-licensing-mi/"
"MN","Minnesota","not_currently_available","https://tsinational.com/minnesota-insurance-prelicensing-requirements-2026/",""
"MO","Missouri","available","https://tsinational.com/missouri-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-mo/"
"MS","Mississippi","available","https://tsinational.com/mississippi-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/mississippi-40-hour-pre-licensing-life-accident-health-exam-prep/"
"MT","Montana","available","https://tsinational.com/montana-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-mt/"
"NC","North Carolina","available","https://tsinational.com/north-carolina-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-nc/"
"ND","North Dakota","available","https://tsinational.com/north-dakota-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-nd/"
"NE","Nebraska","available","https://tsinational.com/nebraska-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ne/"
"NH","New Hampshire","available","https://tsinational.com/new-hampshire-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-nh/"
"NJ","New Jersey","not_currently_available","https://tsinational.com/new-jersey-insurance-prelicensing-requirements-2026/",""
"NM","New Mexico","available","https://tsinational.com/new-mexico-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-nm/"
"NV","Nevada","available","https://tsinational.com/nevada-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-nv/"
"NY","New York","not_currently_available","https://tsinational.com/new-york-insurance-prelicensing-requirements-2026/",""
"OH","Ohio","available","https://tsinational.com/ohio-insurance-prelicensing-requirements-2026/","https://tsinational.com/ohio-insurance-license-exam-prep/"
"OK","Oklahoma","available","https://tsinational.com/oklahoma-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ok/"
"OR","Oregon","not_currently_available","https://tsinational.com/oregon-insurance-prelicensing-requirements-2026/",""
"PA","Pennsylvania","available","https://tsinational.com/pennsylvania-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-pa/"
"RI","Rhode Island","available","https://tsinational.com/rhode-island-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-ri/"
"SC","South Carolina","available","https://tsinational.com/south-carolina-insurance-prelicensing-requirements-2026/","https://tsinational.com/south-carolina-insurance-license-exam-prep/"
"SD","South Dakota","available","https://tsinational.com/south-dakota-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-sd/"
"TN","Tennessee","available","https://tsinational.com/tennessee-insurance-prelicensing-requirements-2026/","https://tsinational.com/tennessee-insurance-license-exam-prep/"
"TX","Texas","available","https://tsinational.com/texas-insurance-prelicensing-requirements-2026/","https://tsinational.com/property-and-casualty-insurance-license-requirements-in-texas/"
"UT","Utah","available","https://tsinational.com/utah-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-health-annuity-agent-licensing-ut/"
"VA","Virginia","available","https://tsinational.com/virginia-insurance-prelicensing-requirements-2026/","https://tsinational.com/virginia-insurance-license-exam-prep/"
"VT","Vermont","available","https://tsinational.com/vermont-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-vt/"
"WA","Washington","available","https://tsinational.com/washington-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-wa/"
"WI","Wisconsin","available","https://tsinational.com/wisconsin-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-wi/"
"WV","West Virginia","available","https://tsinational.com/west-virginia-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/life-healthvirtual-licensing-wv/"
"WY","Wyoming","available","https://tsinational.com/wyoming-insurance-prelicensing-requirements-2026/","https://tsinational.com/product/property-casualty-agent-licensing-wy/"
